Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
CW_1990_16713,Operational,S-Pli59Sx22Bl19-14-3.6-14/E-1040(04),CW,1990,23165,55.34794726,-127.2643628,,,,ESSFwv,ICHmc2/01,,,,,,,,,,,,,,,,""
CW_1990_28612,Operational,S-Pl56Bl28Hw9Sx7-15-4.3-21/O-1171(06),CW,1990,300,56.05970254,-129.1182951,,,,ICHmc1,ICHmc1/01,,,,,,,,,,,,,,,,""
FDI_1988_31505,Operational,S-Sx100-11-1.8-18/M-1200(03),FDI,1988,21055,52.92319092,-121.134405,,,,ESSFwk1,ICHwk4/05,,,,,,,,,,,,,,,,""
FDI_1979_-690060000,Operational,S-Sx90Bl10-15-3.0-12/E-200(12),FDI,1979,37000,52.35900595,-120.7541567,,,,ESSFwk1,ESSFwk1/03,,,,,,,,,,,,,,,,""
FDI_1987_-325810000,Operational,S-Sx81Bl15Pli4-33-9.3-15/E-636(08),FDI,1987,22000,55.13463047,-122.9779659,,,,SBSwk2,SBSwk2/02,,,,,,,,,,,,,,,,""
CW_1989_36393,Operational,S-Ba74Hw26-19-4.8-23/I-960(07),CW,1989,3680,54.31573896,-128.8613615,,,,MHmm2,CWHws1/01,,,,,,,,,,,,,,,,""
BA_1990_-225920000,Operational,S-Bl94Sx6-18-3.1-20/E-700(09),BA,1990,0,56.21063987,-129.3591284,,,,ICHvc,ICHvc/01,,,,,,,,,,,,,,,,""
FDI_1985_-174840000,Operational,S-Pli57Sx29Bl14-20-6.0-18/E-600(09),FDI,1985,38000,52.06152282,-120.3705282,,,,ESSFwk1,ICHwk2,,,,,,,,,,,,,,,,""
PW_1990_13169,Operational,S-Sx79Pli21-9-3.0-21/E-1044(03),PW,1990,20645,53.60751661,-120.6589626,,,,ICHwk3,"",,,,,,,,,,,,,,,,""
FDI_1989_-401630000,Operational,S-Sx96Hw2Bl1Pl1-11-2.9-21/E-1144(97),FDI,1989,6000,55.32052651,-127.1493793,,,,ICHmc1,ESSFmc,,,,,,,,,,,,,,,,""
FDI_1979_-314540000,Operational,S-Sx62Pli38-5-0.6-20/M-1200(18),FDI,1979,1000,55.5937146,-123.7922174,,,,SBSwk2,SBSmk2/03,,,,,,,,,,,,,,,,""
FDI_1979_-314490000,Operational,S-Pli97Sx3-8-2.0-18/E-1133(18),FDI,1979,3000,55.58125477,-123.6840959,,,,SBSmk2,SBSmk2/03,,,,,,,,,,,,,,,,""
