ID1,ID2,lat,long,el
-401870000,FDI,55.34257908,-127.5592132,
-297930000,FDI,55.80602619,-123.7024412,
-319170000,FDI,55.60995282,-123.4328145,
-226030000,BA,56.35999929,-129.2966775,
-225950000,BA,56.22624261,-129.3220801,
-213890000,FDI,54.62247763,-124.507003,
-128200000,FDI,53.5039232,-123.9140906,
-124210000,PW,53.43230758,-121.879932,
-120180000,LW,53.76955585,-121.8382148,
-138390000,FDI,53.50873197,-121.7364485,
-381980000,LS,55.78719681,-121.5447502,
7,BA,55.55952039,-126.6803027,
-300260000,LW,55.66587532,-124.090107,
-395330000,CW,55.76928269,-128.0293627,
209,BA,54.78078139,-127.7449267,
46902,YC,54.57048699,-127.9860145,
1642,CW,55.74991071,-128.053969,
-407010000,CW,55.56129493,-127.7732274,
52752,BG,54.13828798,-128.6338794,
-50340000,BA,54.81588898,-127.6725171,
54935,FDI,54.5196352,-124.9254501,
-381600000,LS,55.66519953,-120.2560803,
4235,FDI,52.39223485,-120.9221979,
4235,CW,52.39223485,-120.9221979,
716,LS,55.05501333,-120.9403149,
42539,CW,55.63859357,-128.5705455,
29681,LS,56.3744222,-124.3238457,
16711,CW,55.14276716,-127.3187692,
27231,CW,55.57880153,-127.7619531,
16504,BA,55.25818643,-127.8458614,
16613,CW,55.58511037,-127.8438835,
16692,CW,55.69537873,-127.6073347,
16697,CW,55.62348939,-127.7141526,
55693,CW,55.65528048,-127.9147481,
16584,CW,55.71430368,-128.0019437,
16586,CW,55.70632544,-127.9953605,
40413,BG,53.73477331,-128.4848805,
53819,CW,54.70849488,-128.5010788,
43567,BG,53.71913666,-128.4809988,
36070,LS,55.26310795,-123.1421622,
8221,FDI,53.00945735,-121.7384719,
54473,FDI,53.37886115,-123.7056844,
15275,LW,54.88769005,-125.7942574,
58736,LW,54.08175002,-127.4570859,
13163,LW,52.42666895,-118.6832124,
13170,CW,53.61434935,-120.6750912,
64268,LW,52.40654158,-118.4872056,
27675,LS,55.0268467,-121.5388504,
48836,LS,55.2720257,-120.8595409,
48838,LS,55.26132549,-120.8449491,
51041,LS,55.03998893,-121.6082486,
10123,LW,52.55824851,-120.4117811,
9034,FDI,52.86821643,-121.1681697,
64325,PY,52.40368725,-118.5205034,
64323,PY,52.40454561,-118.4959622,
12915,LW,54.62449697,-122.7680529,
12951,LW,54.59191374,-122.9145388,
12956,LW,54.44694585,-122.8073693,
12974,LW,54.4512087,-123.0433642,
13013,LW,54.45020237,-122.7181757,
13045,LW,54.7535067,-122.1594224,
63633,LS,55.74076126,-121.8220312,
58741,LW,54.08098549,-127.4676058,
95819,FDI,54.63815867,-125.5111437,
88573,CW,52.11887729,-118.2810409,
91616,LS,52.53787964,-120.9040338,
87599,FDI,53.48728991,-125.6896796,
89085,FDI,53.55074715,-125.5156317,
89679,FDI,53.53678453,-125.5256704,
87595,FDI,53.48392346,-125.6737396,
81248,LS,55.69115033,-121.8323518,
87569,FDI,53.48520257,-125.6817137,
87603,FDI,53.48704339,-125.667852,
87598,FDI,53.48520904,-125.6873032,
95774,LW,52.74571337,-119.096363,
109689,CW,52.69790666,-119.2341279,
116270,FDI,53.87181287,-125.3508331,
116270,LW,53.87181287,-125.3508331,
72266,FDI,53.60399572,-123.6670952,
1052305,FDI,53.1041657,-119.666849,
102090,FDI,52.87676031,-122.7981257,
118563,FDI,53.82289049,-125.2547652,
1049164,FDI,53.85363922,-125.3052087,
1049164,LW,53.85363922,-125.3052087,
118872,CW,55.57402116,-128.7947817,
118710,FDI,53.89074489,-126.0109467,
1051726,CW,52.97451104,-119.389895,
