Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
Lw-8,"","",1981,Skeena_Offsite,"",Operational,54.479611,-126.853472,640,35,28,"",SBSdK,SBSdK/06,"",,,,,,,May,01 tending to 09,LW,2554,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw-9(a),"","",1980,Skeena_Offsite,"",Operational,53.60554,-125.56045,990,15,180,"",SBSdk,SBSdk/03,"",,,,,,,"","",LW,2554,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Lw-9(b),"","",1980,Skeena_Offsite,"",Operational,53.60444,-125.5527,1020,35,225,"",SBSdk,SBSdk/01,"",,,,,,,"",01 tending to 02,LW,2554,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",LW,OR_central,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",PY,ID_Plains,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",LW,60773,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",LW,60779,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",CW,Cw_Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",FDC,63094,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",FDC,63022,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FNEL,Fort Nelson,"",2012,AMAT,1392.38,Research,59.105,-123.15167,380,,,"",BWBSmk,"","",,,,,,,"","",FDC,SpringfieldOR,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",BA,BC_South_Int,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",PW,60785,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDI,63016,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
